,slp40,slp65,sam
1987-09-01,1013.17,984.98,28.18999999999994
1987-10-01,1014.52,980.6,33.91999999999996
1987-11-01,1013.85,980.63,33.22000000000003
1987-12-01,1012.43,987.7,24.729999999999905
1988-01-01,1013.7,990.8,22.90000000000009
1988-02-01,1014.27,985.37,28.899999999999977
1988-03-01,1013.9,987.57,26.329999999999927
1988-04-01,1018.55,986.92,31.629999999999995
1988-05-01,1012.53,994.73,17.799999999999955
1988-06-01,1012.28,997.63,14.649999999999977
1988-07-01,1013.88,983.35,30.529999999999973
1988-08-01,1012.85,988.17,24.680000000000064
1988-09-01,1011.03,989.05,21.980000000000018
1988-10-01,1011.2,994.02,17.180000000000064
1988-11-01,1015.23,983.92,31.31000000000006
1988-12-01,1015.0,985.43,29.57000000000005
1989-01-01,1013.72,991.28,22.440000000000055
1989-02-01,1015.17,984.47,30.699999999999932
1989-03-01,1016.03,985.75,30.279999999999973
1989-04-01,1017.05,990.6,26.449999999999932
1989-05-01,1016.83,978.68,38.15000000000009
1989-06-01,1015.68,984.27,31.409999999999968
1989-07-01,1014.22,983.05,31.170000000000073
1989-08-01,1014.72,989.98,24.74000000000001
1989-09-01,1014.8,985.92,28.879999999999995
1989-10-01,1013.72,981.62,32.10000000000002
1989-11-01,1014.58,986.13,28.450000000000045
1989-12-01,1013.1,990.93,22.170000000000073
1990-01-01,1013.15,990.95,22.199999999999932
1990-02-01,1016.78,985.28,31.5
1990-03-01,1017.27,986.75,30.519999999999982
1990-04-01,1013.95,994.85,19.100000000000023
1990-05-01,1011.32,997.82,13.5
1990-06-01,1014.03,991.87,22.159999999999968
1990-07-01,1012.53,991.88,20.649999999999977
1990-08-01,1014.45,983.7,30.75
1990-09-01,1016.82,980.37,36.450000000000045
1990-10-01,1015.32,985.15,30.170000000000073
1990-11-01,1013.38,984.63,28.75
1990-12-01,1011.18,987.45,23.729999999999905
1991-01-01,1012.43,984.27,28.159999999999968
1991-02-01,1014.42,989.9,24.519999999999982
1991-03-01,1016.05,983.22,32.82999999999993
1991-04-01,1013.35,986.97,26.379999999999995
1991-05-01,1014.88,986.42,28.460000000000036
1991-06-01,1015.25,990.18,25.07000000000005
1991-07-01,1013.27,992.47,20.799999999999955
1991-08-01,1012.95,982.45,30.5
1991-09-01,1010.83,987.97,22.860000000000014
1991-10-01,1014.82,979.7,35.120000000000005
1991-11-01,1012.6,986.7,25.899999999999977
1991-12-01,1012.2,994.88,17.32000000000005
1992-01-01,1012.98,989.4,23.58000000000004
1992-02-01,1015.23,991.73,23.5
1992-03-01,1015.28,987.93,27.350000000000023
1992-04-01,1016.53,987.7,28.829999999999927
1992-05-01,1012.1,994.35,17.75
1992-06-01,1011.97,997.07,14.899999999999977
1992-07-01,1012.45,986.77,25.680000000000064
1992-08-01,1013.6,983.53,30.07000000000005
1992-09-01,1014.8,980.85,33.94999999999993
1992-10-01,1016.18,984.85,31.329999999999927
1992-11-01,1014.3,982.68,31.620000000000005
1992-12-01,1012.97,987.47,25.5
1993-01-01,1011.22,993.67,17.550000000000068
1993-02-01,1015.18,985.37,29.809999999999945
1993-03-01,1015.9,986.35,29.549999999999955
1993-04-01,1017.82,986.33,31.49000000000001
1993-05-01,1015.55,983.05,32.5
1993-06-01,1012.73,985.78,26.950000000000045
1993-07-01,1017.23,981.17,36.06000000000006
1993-08-01,1016.27,977.95,38.319999999999936
1993-09-01,1015.2,981.23,33.97000000000003
1993-10-01,1014.73,979.77,34.960000000000036
1993-11-01,1014.18,982.43,31.75
1993-12-01,1013.48,984.62,28.860000000000014
1994-01-01,1012.38,987.25,25.129999999999995
1994-02-01,1017.3,984.33,32.969999999999914
1994-03-01,1016.9,983.58,33.319999999999936
1994-04-01,1015.17,988.95,26.219999999999914
1994-05-01,1012.45,992.02,20.430000000000064
1994-06-01,1013.58,998.45,15.129999999999995
1994-07-01,1014.53,988.78,25.75
